Portfolio Manager Meter ID,Start Date,End Date,Usage/Quantity,Cost ($)
31548254,7/1/09,7/31/09,58233,3661.37
31548254,8/1/09,8/31/09,282323,17949.02
31548254,9/1/09,9/30/09,405601,23876.63
31548254,10/1/09,10/31/09,387746,21179.26
31548254,11/1/09,11/30/09,769449,38578.81
31548254,12/1/09,12/31/09,109448,7305.06
31548254,1/1/10,1/31/10,79997,4709.21
31548254,2/1/10,2/28/10,295623,23907.27
31548254,3/1/10,3/31/10,345094,19442.98
31548254,4/1/10,4/30/10,433231,23955.68
31548254,5/1/10,5/31/10,970260,62157.9
31548254,6/1/10,6/30/10,199158,16536.32
31548254,7/1/10,7/31/10,380602,54270.43
31548254,8/1/10,8/31/10,528283,58136.17
31548254,9/1/10,9/30/10,544528,49559.85
31548254,10/1/10,10/31/10,794620,42214.71
31548254,11/1/10,11/30/10,299902,16811.03
31548254,12/1/10,12/31/10,95141,9588.39
31548254,1/1/11,1/31/11,358548,30724.91
31548254,2/1/11,2/28/11,214225,12900.8
31548254,3/1/11,3/31/11,82480,5278.65
31548254,4/1/11,4/30/11,384913,27104.15
31548254,5/1/11,5/31/11,1116345,69905.52
31548254,6/1/11,6/30/11,157495,19703.75
31548254,7/1/11,7/31/11,417574,45482.16
31548254,8/1/11,8/31/11,268993,20523.07
31548254,9/1/11,9/30/11,944186,57897.23
31548254,10/1/11,10/31/11,368945,19840.84
31548254,11/1/11,11/30/11,537407,28729.68
31548254,12/1/11,12/31/11,62353,2953.12
31548254,1/1/12,1/31/12,551000,29049.99
31548254,2/1/12,2/29/12,68599,2659.04
31548254,3/1/12,3/31/12,118915,5566.9
31548254,4/1/12,4/30/12,167247,5932.46
31548254,5/1/12,5/31/12,1584146,75376.04
31548254,6/1/12,6/30/12,333170,16933.41
31548254,7/1/12,7/31/12,492453,41444.41
31548254,8/1/12,8/31/12,386953,22562.73
31548254,9/1/12,9/30/12,637070,36741.18
31548254,10/1/12,10/31/12,460405,22247.61
31548254,11/1/12,11/30/12,410422,23089.23
31548254,12/1/12,12/31/12,951884,46780.59
31548254,1/1/13,1/31/13,148969,6784.28
31548254,2/1/13,2/28/13,189692,27694.48
31548254,3/1/13,3/31/13,53767,2799.45
31548254,4/1/13,4/30/13,222888,11848.07
31548254,5/1/13,5/31/13,1108181,59754.39
31548254,6/1/13,6/30/13,1081470,67621.03
31548254,7/1/13,7/31/13,478902,43550.59
31548254,8/1/13,8/31/13,326932,18939.58
31548254,9/1/13,9/30/13,591944,37526.55
31548254,10/1/13,10/31/13,371475,18783.54
31548254,11/1/13,11/30/13,218128,10436.04
31548254,12/1/13,12/31/13,168915,9638.21
31548254,1/1/14,1/31/14,463828,143905.38
31548254,2/1/14,2/28/14,491231,59294.71
31548254,3/1/14,3/31/14,60755,5146.69
31548254,4/1/14,4/30/14,1568672,88245.94
31548254,5/1/14,5/31/14,1320681,67315.91
31548254,6/1/14,6/30/14,1679543,82618.92
31548254,7/1/14,7/31/14,470744,27595
31548254,8/1/14,8/31/14,256023,13593
31548254,9/1/14,9/30/14,663311,38508
31548254,10/1/14,10/31/14,2218037,107684
31548254,11/1/14,11/30/14,397659,19824
31548254,12/1/14,12/31/14,108134,6289
31548254,1/1/15,1/31/15,66896,4302
31548254,2/1/15,2/28/15,432091,60478
31548254,3/1/15,3/31/15,240500,19486
31548254,4/1/15,4/30/15,399363,18878
31548254,5/1/15,5/31/15,1000086,44566
31548254,6/1/15,6/30/15,872315,27494
31548254,7/1/15,8/28/15,597586,Not Available
31548254,8/29/15,9/28/15,925821,129202.42
31548254,9/29/15,4/28/16,3208249,Not Available
31548254,4/29/16,5/27/16,787823,90289.98
31548254,5/28/16,8/26/16,2851832,Not Available
31548254,8/27/16,9/27/16,1009260,119040.23
31548254,9/27/16,10/26/16,1447797,186143.75
31548254,10/27/16,11/28/16,344638,59598.24
31548254,11/29/16,12/28/16,1114284,102124.86
31548254,12/29/16,1/27/17,2880371,186579.92
31548254,1/28/17,2/28/17,3657128,222306.24
31548254,3/1/17,3/29/17,1545370,132390.8
31548254,3/30/17,4/28/17,301793,62263.29
31548254,4/29/17,5/30/17,1329469,107692.11
31548254,5/31/17,6/28/17,872186,97338.55
31548254,6/29/17,7/28/17,521674,95640.11
31548254,7/29/17,8/28/17,493327,82991.46
31548254,8/29/17,9/27/17,1152599,134512.32
31548254,9/28/17,10/26/17,614019,85841.24
31548254,10/27/17,11/28/17,443815,77266.45
31548254,11/29/17,12/27/17,244024,66263.79
31548254,12/28/17,1/26/18,227562,103476.66
31548254,1/27/18,2/27/18,327543,69682.19
31548254,2/28/18,3/28/18,1395352,116430.18
31548254,3/29/18,4/27/18,2701256,147823.35
31548254,4/28/18,5/29/18,1636270,86438.8
31548254,5/30/18,6/27/18,1087859,110666.48
31548254,6/28/18,7/27/18,614833,83910.76
31548254,7/28/18,8/27/18,760546,98016.19
31548254,8/28/18,9/26/18,1898321,156469.06
31548254,9/27/18,10/23/18,3427636,206774.03
31548254,10/24/18,11/27/18,1807202,133424.01
31548254,11/28/18,12/27/18,116506,57730.87
31548254,12/28/18,1/28/19,9454,66858.54
31548254,1/29/19,2/27/19,278158,85078.82
31548254,2/28/19,3/28/19,162008,77767.29
31548254,3/29/19,4/29/19,438928,84594.32
31548254,4/30/19,5/29/19,1774635,118147.01
31548254,5/30/19,6/27/19,770479,118522.84
31548254,6/28/19,7/29/19,1483767,162321.68
31548254,7/30/19,8/27/19,597586,113556.16
31548254,8/28/19,9/26/19,710774,124349.42
31548254,9/27/19,10/25/19,964363,107210.06
31548254,10/26/19,11/25/19,602619,92454.82
31548254,11/26/19,12/11/19,439271,60895.71
31548254,12/12/19,12/27/19,2029,39773.49
31548254,12/28/19,1/28/20,213665,66236.2
31548254,1/29/20,2/27/20,127944,74402.19
31548254,2/28/20,3/27/20,77848,72395.8
31548254,3/28/20,4/28/20,1428436,121684.22
31548254,4/29/20,5/28/20,2319373,153816.13
31548254,5/29/20,6/26/20,3328946,229797.28
31548254,6/27/20,7/28/20,4396280,304366.4
31548254,7/29/20,8/26/20,3614224,246317.7
31548254,8/27/20,9/23/20,2413814,218453.3
31548254,9/24/20,10/26/20,0,0
31548254,10/27/20,11/24/20,244508,87195.45
31548254,11/25/20,12/28/20,512438,102275.08
31548254,12/29/20,1/27/21,289243,138157.3
49324439,12/1/16,1/3/17,140,63.87
49324439,1/3/17,2/1/17,14,50.32
49324439,2/1/17,3/3/17,4,51.94
49324439,3/3/17,4/3/17,91,62.83
49324439,4/3/17,5/3/17,87,62.72
49324439,5/3/17,6/2/17,197,77.61
49324439,6/2/17,7/3/17,396,134.48
49324439,7/3/17,8/2/17,437,143
49324439,8/2/17,10/2/17,302,162.34
49324439,10/2/17,10/31/17,130,63.96
49324439,10/31/17,4/4/18,105,255.75
49324439,4/4/18,5/3/18,14,49.82
49324439,5/3/18,6/4/18,19,50.07
49324439,6/4/18,7/3/18,370,117.06
49324439,7/3/18,8/2/18,183,122.12
49324439,8/2/18,8/31/18,295,100.82
49324439,8/31/18,10/2/18,274,96.64
49324439,10/2/18,10/31/18,192,64.17
49324439,10/31/18,12/3/18,81,54.43
49324439,12/3/18,1/3/19,58,56.08
49324439,1/3/19,2/1/19,46,44.14
49324439,2/1/19,3/5/19,44,44.74
49324439,3/6/19,5/3/19,30,80.53
49324439,5/4/19,6/4/19,19,39.2
49324439,6/5/19,7/3/19,518,137.64
49324439,7/4/19,8/2/19,94,47.25
49324439,8/3/19,9/3/19,321,92.44
49324439,9/4/19,10/1/19,268,81.35
49324439,10/2/19,11/20/19,218,70.1
49324439,11/21/19,1/3/20,52,46.99
